shipment_id,arrival_min,deadline_min,review_min,entry_min,handoff_min
DEMO-001,1,41,19,11,5
DEMO-002,41,101,12,8,4
DEMO-003,50,112,18,11,6
DEMO-004,52,132,11,8,2
DEMO-005,56,131,15,8,5
DEMO-006,60,109,20,11,6
DEMO-007,114,173,10,11,4
DEMO-008,122,185,15,6,5
DEMO-009,147,224,16,12,2
DEMO-010,163,230,15,12,6
DEMO-011,215,286,14,10,4
DEMO-012,225,291,16,9,6
DEMO-013,230,303,18,10,3
DEMO-014,251,299,19,11,6
DEMO-015,257,303,17,9,5
DEMO-016,262,311,15,7,2
DEMO-017,280,360,17,11,5
DEMO-018,284,358,13,9,4
DEMO-019,293,368,18,10,5
DEMO-020,300,365,14,8,4
DEMO-021,307,347,10,11,6
DEMO-022,314,383,18,9,4
DEMO-023,318,370,13,9,5
DEMO-024,331,403,18,9,5
DEMO-025,497,565,20,6,2
DEMO-026,512,580,16,12,2
DEMO-027,529,608,18,7,2
DEMO-028,530,609,10,10,4
DEMO-029,554,634,14,6,4
DEMO-030,573,650,16,12,5
DEMO-031,579,627,15,9,6
DEMO-032,612,660,21,11,6
DEMO-033,616,674,11,11,3
DEMO-034,628,676,18,10,4
DEMO-035,642,714,14,12,3
DEMO-036,669,742,18,9,2
DEMO-037,690,736,14,6,2
DEMO-038,697,759,16,12,2
DEMO-039,704,745,15,8,4
DEMO-040,711,779,14,6,5
DEMO-041,714,783,16,12,3
DEMO-042,725,774,16,7,5
DEMO-043,735,814,14,10,3
DEMO-044,743,787,15,6,3
DEMO-045,765,816,10,10,2
DEMO-046,812,880,19,11,3
DEMO-047,819,889,17,6,3
DEMO-048,832,905,13,10,3
DEMO-049,1000,1073,18,12,4
DEMO-050,1021,1067,19,7,2
DEMO-051,1042,1087,20,11,4
DEMO-052,1049,1115,15,12,3
DEMO-053,1050,1091,14,7,4
DEMO-054,1055,1130,17,12,6
DEMO-055,1094,1147,11,11,4
DEMO-056,1099,1174,18,11,3
DEMO-057,1107,1183,13,8,6
DEMO-058,1116,1164,11,8,2
DEMO-059,1126,1193,12,11,2
DEMO-060,1136,1198,17,7,2
DEMO-061,1156,1228,13,10,2
DEMO-062,1159,1217,21,7,4
DEMO-063,1172,1228,10,9,4
DEMO-064,1177,1243,22,6,2
DEMO-065,1187,1242,9,6,2
DEMO-066,1197,1272,16,12,4
DEMO-067,1199,1259,18,10,6
DEMO-068,1206,1248,21,8,6
DEMO-069,1214,1267,16,9,2
DEMO-070,1225,1288,19,11,4
DEMO-071,1232,1296,13,12,4
DEMO-072,1298,1341,17,9,2
DEMO-073,1450,1509,10,10,3
DEMO-074,1459,1521,14,9,3
DEMO-075,1468,1534,17,12,3
DEMO-076,1497,1548,15,11,6
DEMO-077,1500,1575,14,8,3
DEMO-078,1502,1556,9,8,6
DEMO-079,1504,1574,14,8,3
DEMO-080,1523,1603,16,12,3
DEMO-081,1541,1616,10,12,6
DEMO-082,1584,1640,14,10,4
DEMO-083,1588,1631,17,6,3
DEMO-084,1592,1662,10,7,6
DEMO-085,1603,1652,21,12,5
DEMO-086,1609,1672,21,7,6
DEMO-087,1615,1672,14,7,4
DEMO-088,1621,1683,15,9,6
DEMO-089,1653,1723,20,11,6
DEMO-090,1707,1766,12,11,5
DEMO-091,1717,1766,15,6,4
DEMO-092,1727,1800,17,12,2
DEMO-093,1739,1819,12,8,4
DEMO-094,1745,1819,17,7,2
DEMO-095,1756,1797,15,12,6
DEMO-096,1795,1854,16,9,5
DEMO-097,1941,1989,22,7,2
DEMO-098,1963,2041,16,9,4
DEMO-099,1973,2047,12,10,2
DEMO-100,1992,2043,13,7,3
DEMO-101,2000,2041,20,10,2
DEMO-102,2003,2066,10,8,3
DEMO-103,2017,2091,12,10,3
DEMO-104,2053,2101,11,8,5
DEMO-105,2066,2112,20,11,2
DEMO-106,2069,2133,13,8,2
DEMO-107,2071,2133,15,9,2
DEMO-108,2078,2153,15,12,4
DEMO-109,2090,2159,20,8,2
DEMO-110,2102,2146,18,6,5
DEMO-111,2119,2178,13,11,3
DEMO-112,2180,2230,14,10,6
DEMO-113,2184,2245,14,11,5
DEMO-114,2195,2260,13,7,5
DEMO-115,2197,2251,19,8,4
DEMO-116,2200,2266,19,10,5
DEMO-117,2223,2276,12,11,6
DEMO-118,2249,2297,14,8,2
DEMO-119,2258,2318,13,12,5
DEMO-120,2259,2315,12,11,4
